ER53001,ER53002,ER53017,ER57482,ER58255
3,8343,56,0,2
3,8832,41,2,4
3,1369,51,1,2
3,2468,20,6,4
3,8173,41,1,4
3,7532,83,99,4
3,5777,50,4,3
3,2985,30,3,2
3,8580,23,12,2
3,7245,66,2,4
3,6966,33,3,4
3,99,59,2,1
3,2805,79,4,2
3,1338,69,0,1
3,8822,47,7,1
3,17,62,2,1
3,203,40,0,1
3,1450,36,2,4
3,641,39,4,4
3,1776,41,0,1
3,3000,20,0,2
3,250,62,7,2
3,5570,59,1,1
3,708,86,2,2
3,5779,19,5,2
3,623,58,0,2
3,1017,33,7,3
3,2458,62,0,2
3,2915,45,2,1
3,2348,39,2,1
3,5471,22,4,4
3,5918,31,0,4
3,2699,29,16,2
3,2293,29,4,1
3,4015,20,0,2
3,6186,18,6,2
3,5284,18,0,2
3,1339,56,0,1
3,1760,54,6,2
3,2714,54,4,1
3,1745,74,5,1
3,8212,20,8,1
3,4249,29,0,4
3,2250,70,2,4
3,1682,73,6,1
3,142,72,1,2
3,8193,41,11,2
3,81,86,14,2
3,297,59,3,2
3,8444,56,0,1
3,6905,52,5,2
3,2335,75,5,1
3,7997,51,0,4
3,6120,26,12,4
3,1319,52,3,1
3,1068,62,0,4
3,1162,61,1,2
3,947,40,1,2
3,1285,39,2,1
3,735,59,0,1
3,2255,71,2,4
3,1179,40,9,3
3,2177,77,0,1
3,5956,65,6,2
3,6386,46,4,1
3,2900,37,2,1
3,5443,45,9,1
3,7744,34,2,1
3,7736,25,6,1
3,4894,79,2,1
3,4957,51,0,1
3,4663,46,1,2
3,4499,42,5,1
3,3903,27,4,2
3,5861,19,6,4
3,7864,23,6,2
3,7422,54,4,3
3,4436,56,4,1
3,5380,54,0,1
3,8030,39,11,4
3,4616,29,8,4
